day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,stock
184.14999389648438,186.5989332701735,189.1145191852947,190.44840390433575,191.60157217029834,188.0771419446754,193.24119479214045,193.44550446159968,195.24991805023063,193.72839017240295,aapl
184.14999389648438,182.89695185222317,181.66805829540002,181.36271785440243,179.89950373405017,181.38823285329306,179.7162486518934,177.7853777781404,177.30379853371377,178.9053488694304,aapl
184.14999389648438,184.5214345713647,184.8856217646625,190.12587726179345,191.28287459255432,188.26665685795396,188.75764565320458,189.77558752640397,187.04617773336503,188.8187079761314,aapl
184.14999389648438,185.10727351823843,186.05341347644418,186.0267299383483,184.92715340368497,181.9553585300964,180.68193614019643,181.9270502226687,184.10721946630792,184.89908649012722,aapl
184.14999389648438,186.95893263122025,189.88154541106545,185.64295718443557,182.63183213374685,188.4258142730267,193.12370872825133,193.26849811353148,189.9535587527118,191.22626513793477,aapl
184.14999389648438,186.79515674426952,189.53093960495895,188.40873403568418,188.84918792250036,186.77609065383848,184.70447483145512,189.966590685352,189.70966035267298,192.61439482757862,aapl
184.14999389648438,184.6669315148907,185.17458302726848,186.5996957337915,185.86969497218644,188.38584185108712,186.77429462702378,187.249965928338,186.18854868758172,184.33300167114248,aapl
184.14999389648438,185.28840479815892,186.41731816696614,183.91017642150985,185.89019418961607,182.9789721669579,180.8189846922228,178.5273195624267,175.0749089151042,174.52570275788233,aapl
184.14999389648438,187.88579389326324,191.92450036249434,190.24348021016922,189.36449366740982,191.7435363106582,194.83824678004672,196.52701559970262,194.2120808223638,195.23541188441465,aapl
184.14999389648438,181.71961330173534,179.28785660188393,177.50227873309848,172.39554580250243,171.32864264415045,170.40188213778006,167.49109455578545,168.092381894008,168.01594119401278,aapl
184.14999389648438,182.85368598689837,181.58178327634164,182.5755186270078,183.99858986102635,183.01844859197993,183.93166618272596,185.02158722118295,183.59172746054412,181.12596372827298,aapl
184.14999389648438,184.9597502924668,185.7581519088347,183.25386435743943,183.7838388158699,182.67173457656781,182.66917846479137,182.42192455646523,180.56063393157842,176.6238366312092,aapl
184.14999389648438,185.10557248329587,186.05000345974128,186.4228926301387,186.47261277449587,185.55667586571073,186.81363552229894,188.67959186539258,188.6870835119528,188.61882719847603,aapl
184.14999389648438,185.20196888583362,186.2434612167343,184.69112312964975,188.72807431803872,192.49402938252987,194.04605881631775,191.97331067099668,193.4515710437577,193.45439289001393,aapl
184.14999389648438,182.44805165288804,180.76922340246884,179.31564707230976,178.96854567256054,180.00535861162365,178.08818612620615,181.1974784379844,182.7329404662313,183.19401324833802,aapl
184.14999389648438,180.71951233968184,177.1886895047478,175.10972771489716,174.34662673988475,173.54222054216746,171.95840272479822,170.48357382436146,171.86237086191386,173.64497367289758,aapl
184.14999389648438,185.73750538151742,187.3274684769415,187.18842187183762,188.5365193979317,189.4036534688,186.60150741220417,186.58647756369353,184.65791729328927,185.01585548029826,aapl
184.14999389648438,180.80771034190082,177.3774737488531,174.225668800946,175.72002908813488,172.81803744877826,171.73951795617714,167.93069514142178,167.28045324996168,163.00990718915276,aapl
184.14999389648438,184.52089039908444,184.88454205916577,181.53033749964376,185.246145274956,183.52589312578795,184.36208237427272,183.2468334269986,182.27355130812663,178.70347246859757,aapl
184.14999389648438,181.57865466577755,178.9970814990704,176.63168649797697,178.0994646508856,180.0093929441777,177.75320801026325,181.15038138223179,183.38039617760018,185.04929230736477,aapl
184.14999389648438,185.4125004826678,186.66761514828772,187.88701702028752,184.10561572580588,184.43196221756045,186.29495484935634,186.761030519742,187.8462265743031,188.19325029208323,aapl
184.14999389648438,180.0553218164104,175.74081915326278,173.48683964298618,173.01170777338976,174.0072088038093,172.74859416312924,172.23960882572646,167.11565334833628,167.13709541258916,aapl
184.14999389648438,184.31584695071794,184.47816876285444,182.75934729888408,185.19725992816095,184.82058250369494,183.4590310046093,184.35084095177407,184.23597076193008,183.7569385997535,aapl
184.14999389648438,185.49706329400223,186.8386736963191,184.13962464035222,185.19627455797246,183.52394147164392,186.06350004335565,187.60162089525937,189.7942268608151,188.69250916433904,aapl
184.14999389648438,183.89360815450664,183.64318898513977,185.86027569152358,188.64075449468086,183.93050641850186,181.88897260024277,179.27082495862734,177.31039200525638,180.4287587421009,aapl
184.14999389648438,185.8142025684314,187.48419534103402,185.01506820566354,183.57614115941567,188.67213564799061,191.50660586300174,187.5956923865649,193.23367407950994,193.00705594600552,aapl
184.14999389648438,182.08531548897162,180.03566716622552,177.52437093762995,173.93659739290416,168.7573623634744,173.34049675292098,175.76414471245633,183.59997427455943,179.41819418134585,aapl
184.14999389648438,186.03154073927632,187.93063957031805,187.25610722392184,188.59055109571207,188.7859861229671,184.40641197043584,185.6116454317817,185.88026258113564,182.41970060080934,aapl
184.14999389648438,183.47584723568505,182.8172513920526,185.366366654311,181.89832011605742,188.38416247223063,186.06271186277183,182.22619673572584,182.03061729112378,186.95455685431335,aapl
184.14999389648438,180.60510335150713,176.94263604414775,177.70281840601683,175.12002551443612,176.29387477197739,176.98546390281265,174.2551196406825,179.1096375068111,175.78576277485607,aapl
184.14999389648438,186.99512187769628,189.95940671561183,190.83893592639504,187.18937149922334,190.16902972280374,186.83162686070816,185.79521378716035,185.73188035229535,186.10403769271653,aapl
184.14999389648438,182.39421451134115,180.66080499573678,182.1701672078261,176.4056618419327,170.60176012939561,171.47710418999844,173.5906696152895,169.5671432275425,167.95222149787529,aapl
184.14999389648438,185.5797274572108,187.0063057866637,185.0660620852292,188.69541871352692,188.29639388366974,188.75143582051092,184.3845547926709,185.46763988323676,185.7863720114396,aapl
184.14999389648438,184.09141166478835,184.03415448791685,188.84021738753583,191.50284622823003,193.61874927723184,193.18106562278967,192.40853748796766,190.80295110197258,190.882383970039,aapl
