day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
406.32000732421875,413.4421698669856,420.8066566612642,420.31190143651463,418.2011469674363,417.171259988233,422.36026332945926,425.1073093951551,420.8904802987125,424.14486913769133
406.32000732421875,416.17696533405694,426.93541638263935,448.13125799745336,440.2299369820299,456.7973640804873,459.1940995225755,444.28526258281823,451.4948692511403,453.87762909584393
406.32000732421875,407.61015000436123,408.8540694670621,409.5858878648787,421.37336859320055,420.46905890718693,421.8115079064188,421.52469866119105,427.4968858644057,426.207568386375
406.32000732421875,402.998992893073,399.79632785510984,405.5066110204329,404.2400894857252,400.53209780247863,392.51516108725235,388.71734950501536,378.1262538641963,380.9322199440097
406.32000732421875,417.7428039122497,430.65701620437443,438.58134713269186,436.4965758398944,442.314741943737,433.9425160336043,436.4920184820204,448.1997030084142,451.53437614196497
406.32000732421875,402.7362290404885,399.27486537121075,405.1401281908854,409.4621282765764,409.7184654944705,403.7880941821002,408.82881822809065,405.83862030072817,406.5405990353254
406.32000732421875,408.36794261904566,410.35217038299487,397.74857882309396,404.04647837175827,418.55114432550266,418.1384354269861,422.16552790528823,427.81921089363584,426.5143442474012
406.32000732421875,393.67615192016336,379.7830620680942,388.8115247243833,389.5717150184756,383.57462869175384,391.70719028835316,386.20548747994854,369.92287518386485,374.1890664656478
406.32000732421875,405.38660783679614,404.49232143315515,403.8016010736059,404.4973848224944,403.21206596502225,405.45478928901645,405.7488979917156,400.8442094120612,395.09913770677014
406.32000732421875,407.4965621943129,408.63026735063596,413.6908194138429,416.06161992674225,416.1072576874707,422.159306146766,421.8950039553068,430.9947373546632,432.5883874516758
406.32000732421875,406.97928725580067,407.61303250031995,414.4403133069833,414.12986236479355,419.1608913813128,419.22463154116826,418.1298642057011,422.96718524869766,425.7677955419944
406.32000732421875,404.2370642486511,402.2385141612546,406.76823877490705,408.21652169231055,408.90403818844817,408.706595487752,402.39543627533067,399.1404483786584,390.7555745341995
406.32000732421875,404.9591199664865,403.6550434930105,401.914943551488,403.57615193215685,402.6443724051454,403.95753973370245,397.60364110879533,398.63658857831655,400.24658559243363
406.32000732421875,407.01618488647506,407.68549897342814,411.06734978598274,412.8947733269987,413.7211795780709,416.6650583100998,416.8351652214475,423.4189531092154,422.30077277542915
