day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
184.14999389648438,184.26627345948322,184.3800369361155,180.59119865303725,184.29205052043346,181.90744504378097,182.95168895005654,180.6121848137846,181.56429304372836,181.05380715087017
184.14999389648438,182.2608395191376,180.3915511242209,178.3626158382714,177.0639026853561,172.24021320473304,174.2106926015505,172.7545200303915,176.3593174826541,174.55643672246882
184.14999389648438,182.62607761270874,181.12672743282872,179.50387057628004,185.26578513741842,185.89865263347812,186.39366753271347,190.2996996604717,188.78400444033676,192.27491375418958
184.14999389648438,184.80222724957855,185.44384604401245,185.95235850325048,187.63464969488575,187.97320183007756,192.2304978569752,192.0343220159722,188.5733671487404,187.07935938590757
184.14999389648438,183.37766973174936,182.62288444037608,185.99481654720097,186.3204614129729,189.73785998020972,189.07967962082097,187.28434944507705,182.93210036419416,178.6060889201953
184.14999389648438,184.6669315148907,185.17458302726848,186.5996957337915,185.86969497218644,188.38584185108712,186.77429462702378,187.249965928338,186.18854868758172,184.33300167114248
184.14999389648438,183.12030116705128,182.11245321215193,177.9493533124163,177.99527625896835,180.70051997266518,176.39710157338925,174.13824554497714,176.3865418831162,178.5942972062837
184.14999389648438,179.12475666872473,173.6256710026745,170.4977065895964,168.61764044427113,165.2251963809236,160.9980527460772,165.4012007992151,164.104347024792,166.42077839403086
184.14999389648438,183.89360815450664,183.64318898513977,185.86027569152358,188.64075449468086,183.93050641850186,181.88897260024277,179.27082495862734,177.31039200525638,180.4287587421009
184.14999389648438,183.75994126382668,183.37903138177077,185.03280612772457,187.44760211041879,186.7043787187878,180.80999002654525,187.02677960341177,188.20634716291121,188.80121167671712
184.14999389648438,183.98569216691453,183.82517396956726,183.2033596160301,184.97946506294699,185.15704912189983,188.79869974621153,189.45458975191133,189.21122120457528,184.98495563700098
184.14999389648438,186.63326376953157,189.18709697271925,190.34741930000934,191.04550654893694,189.86479756610805,186.83075174641013,186.70267294207926,182.43740396800408,185.25798500034406
184.14999389648438,181.99007649447142,179.84177677682186,180.00935584414967,180.54610188179777,181.75074057037753,182.0712905059412,179.6321611442518,181.5722265289828,183.17177680515226
184.14999389648438,180.15992066722282,175.97204611506243,175.83055832410693,170.30051766277404,171.72454281818557,172.69198938883832,172.51989992062246,172.85528262779204,175.36417649538748
184.14999389648438,186.18014360905565,188.23800755346818,189.95572100836512,192.78830343015892,190.07735450701261,188.8535368709818,188.94349802420143,186.1420910986281,189.008040965369
184.14999389648438,188.46273688066333,193.25343972628738,192.98394165225716,190.9873556298957,197.1710374423956,197.77130187138454,196.620738455009,195.90466309915462,194.49684832996562
184.14999389648438,181.9684440430723,179.79765559661135,180.90516181600623,179.90090774571098,180.15370338472607,181.2382884652042,179.3521828094095,176.86448493952673,172.74305116471433
184.14999389648438,179.99005591085242,175.59590462231986,178.72723649155049,179.64278440686576,183.31973161468326,185.73523495560278,186.2119079752208,184.7040048047454,190.67820921169186
184.14999389648438,181.64479602193188,179.13370701922676,175.2395386994892,176.75024009105655,181.10434230616414,181.12898604990693,186.5921709382543,191.55491581731462,195.0317425715185
184.14999389648438,185.48513788529655,186.81452481912154,186.7219136092773,180.9606592761871,183.8434750105485,183.37155512263274,183.20016800323853,184.64808323933994,184.48595924223278
184.14999389648438,183.47584723568505,182.8172513920526,185.366366654311,181.89832011605742,188.38416247223063,186.06271186277183,182.22619673572584,182.03061729112378,186.95455685431335
184.14999389648438,184.5684238542568,184.97888212796548,192.59934305987215,191.87477565440673,191.40667298156666,196.47372459129105,200.30059025997633,204.70414521996918,202.54952283477718
184.14999389648438,184.3053556231735,184.45739768351925,183.47768645414047,183.14596881463842,187.0788500881889,186.58341080157226,185.39787006573349,186.72611387986916,183.30586066979936
184.14999389648438,184.87995078992486,185.59881133005368,192.10420787502878,197.2497530400254,191.43271893912666,195.74849885060365,194.63460951977527,198.31169993426448,200.54172667854598
184.14999389648438,185.48745825747937,186.81922289284347,185.3350424921993,182.6857382901618,186.65636533962567,184.19073916832954,188.44294953905015,182.89136993760752,184.10230253204622
184.14999389648438,184.59682103668231,185.03527009102143,186.40378457459565,188.37059523369138,184.74717801354643,186.26467159762166,184.62251467145924,184.75943064463453,183.85666694619547
184.14999389648438,186.95893263122025,189.88154541106545,185.64295718443557,182.63183213374685,188.4258142730267,193.12370872825133,193.26849811353148,189.9535587527118,191.22626513793477
184.14999389648438,182.81768946631087,181.509951908132,178.7577281695231,179.68662767456718,182.71717492183168,184.93359795894665,183.35130764295806,183.46555012291043,180.09504551387778
184.14999389648438,186.22052112353222,188.32183830816933,191.50887887341614,191.77456031713734,193.73290364479564,192.79781155632466,193.06025448609495,188.81306518544835,188.5883252550634
184.14999389648438,185.43189627767305,186.70681332037935,188.52658661482667,188.0587920831703,187.59318717810893,190.00184627673985,191.6027152999107,189.22751790852067,188.59477240722913
184.14999389648438,181.50246221203696,178.83927365336243,183.38170064976762,185.47112978605296,185.0952902731366,185.62370280853267,183.92942139811038,188.12904674534482,186.21207377030032
