date,open,high,low,close,adj_close,volume
2004-08-19,2.502503,2.604104,2.401401,2.511011,2.511011,8.9318195E8
2004-08-20,2.527778,2.72973,2.515015,2.71046,2.71046,4.56686848E8
2004-08-23,2.771522,2.83984,2.728979,2.737738,2.737738,3.65122496E8
2004-08-24,2.783784,2.792793,2.591842,2.624374,2.624374,3.04946752E8
2004-08-25,2.626627,2.702703,2.5996,2.652653,2.652653,1.83772048E8
2004-08-26,2.626376,2.701451,2.619119,2.70045,2.70045,1.41897952E8
2004-08-27,2.705205,2.718218,2.644895,2.656406,2.656406,1.2423564E8
2004-08-30,2.634635,2.63989,2.552803,2.552803,2.552803,1.0393596E8
2004-08-31,2.56006,2.595345,2.556557,2.561812,2.561812,9.8357544E7
2004-09-01,2.57007,2.576827,2.494244,2.508759,2.508759,1.82765056E8
2004-09-02,2.482232,2.561812,2.475976,2.54029,2.54029,3.02373312E8
2004-09-03,2.526276,2.546046,2.485485,2.502753,2.502753,1.03048848E8
2004-09-07,2.527778,2.552553,2.492743,2.542042,2.542042,1.16950928E8
2004-09-08,2.521021,2.578328,2.515015,2.56006,2.56006,9.9712192E7
2004-09-09,2.565816,2.57032,2.527528,2.56031,2.56031,8.1234688E7
2004-09-10,2.542543,2.666667,2.535035,2.635886,2.635886,1.73977856E8
2004-09-13,2.668418,2.712963,2.664164,2.69019,2.69019,1.5688296E8
2004-09-14,2.688939,2.802803,2.672422,2.79004,2.79004,2.165792E8
2004-09-15,2.766767,2.858609,2.757758,2.802803,2.802803,2.1426152E8
2004-09-16,2.811311,2.897898,2.794044,2.852102,2.852102,1.85326496E8
2004-09-17,2.863363,2.94019,2.841592,2.94019,2.94019,1.89450368E8
2004-09-20,2.926677,3.043043,2.922172,2.986987,2.986987,2.12575216E8
2004-09-21,2.998248,3.013514,2.940691,2.948949,2.948949,1.4457528E8
2004-09-22,2.937938,2.994745,2.923173,2.962462,2.962462,1.51624224E8
2004-09-23,2.973974,3.068819,2.928428,3.023524,3.023524,1.7071312E8
2004-09-24,3.026527,3.105606,2.996997,2.998749,2.998749,1.82469344E8
2004-09-27,2.991992,3.025025,2.947948,2.959459,2.959459,1.41322528E8
2004-09-28,3.035536,3.188188,3.008258,3.174675,3.174675,3.38581088E8
2004-09-29,3.170671,3.378879,3.158909,3.28028,3.28028,6.1032909E8
2004-09-30,3.250751,3.310811,3.228228,3.243243,3.243243,2.75160576E8
2004-10-01,3.273273,3.359359,3.225726,3.317818,3.317818,3.02497216E8
2004-10-04,3.384635,3.425175,3.354104,3.37988,3.37988,2.6045528E8
2004-10-05,3.36987,3.466717,3.309309,3.462713,3.462713,2.99464224E8
2004-10-06,3.442192,3.464715,3.403403,3.43043,3.43043,2.67628096E8
2004-10-07,3.426426,3.500501,3.417167,3.474725,3.474725,2.82301408E8
2004-10-08,3.471471,3.495495,3.428929,3.446697,3.446697,2.21390384E8
2004-10-11,3.428428,3.474975,3.3496,3.384885,3.384885,2.09442352E8
2004-10-12,3.364364,3.443694,3.338338,3.438438,3.438438,2.33310464E8
2004-10-13,3.586587,3.592342,3.505506,3.526026,3.526026,3.95324288E8
2004-10-14,3.528779,3.563063,3.467467,3.553554,3.553554,2.08842944E8
2004-10-15,3.626877,3.641141,3.552302,3.606356,3.606356,2.6389584E8
2004-10-18,3.583584,3.733734,3.533784,3.732733,3.732733,2.80726976E8
2004-10-19,3.766266,3.813814,3.687437,3.702202,3.702202,3.6219744E8
2004-10-20,3.704454,3.728478,3.493493,3.515766,3.515766,4.54453088E8
2004-10-21,3.613614,3.757007,3.544044,3.738238,3.738238,5.8299642E8
2004-10-22,4.267768,4.508759,4.106106,4.315065,4.315065,1.47420032E9
2004-10-25,4.414414,4.865616,4.318068,4.68969,4.68969,1.30925747E9
2004-10-26,4.663163,4.820821,4.504505,4.54955,4.54955,8.9139174E8
2004-10-27,4.572573,4.742743,4.548799,4.653904,4.653904,5.33725728E8
2004-10-28,4.671672,4.864615,4.644645,4.837337,4.837337,5.9327814E8
2004-10-29,4.977227,5.003754,4.76977,4.770771,4.770771,8.456535E8
2004-11-01,4.843594,4.946697,4.786537,4.905656,4.905656,4.88507008E8
2004-11-02,4.974474,4.986236,4.838338,4.876627,4.876627,4.53398144E8
2004-11-03,4.959459,5.045045,4.773524,4.796547,4.796547,5.5499245E8
2004-11-04,4.715716,4.764765,4.588338,4.622122,4.622122,5.7580762E8
2004-11-05,4.554054,4.562062,4.217968,4.237988,4.237988,7.9253069E8
2004-11-08,4.277528,4.39039,4.239239,4.318068,4.318068,4.4722432E8
2004-11-09,4.356857,4.384384,4.135886,4.221722,4.221722,4.4212544E8
2004-11-10,4.271021,4.317317,4.162412,4.200701,4.200701,4.2533424E8
2004-11-11,4.232482,4.598348,4.193443,4.58008,4.58008,5.9882061E8
2004-11-12,4.635385,4.74975,4.439439,4.554555,4.554555,6.6917414E8
2004-11-15,4.515766,4.712713,4.473223,4.626376,4.626376,4.75583936E8
2004-11-16,4.441942,4.491241,4.275025,4.317818,4.317818,8.3585933E8
2004-11-17,4.22973,4.441942,4.229229,4.316817,4.316817,7.2459066E8
2004-11-18,4.261512,4.364865,4.147397,4.192693,4.192693,6.6451878E8
2004-11-19,4.231732,4.253754,4.167167,4.239239,4.239239,3.50421216E8
2004-11-22,4.115866,4.241742,4.036787,4.131632,4.131632,4.9423328E8
2004-11-23,4.203453,4.275025,4.166667,4.192192,4.192192,4.96035456E8
2004-11-24,4.374875,4.434685,4.317067,4.373373,4.373373,6.1062874E8
2004-11-26,4.399399,4.505255,4.387387,4.489239,4.489239,2.589448E8
2004-11-29,4.513514,4.578328,4.442192,4.530781,4.530781,4.26237344E8
2004-11-30,4.522272,4.57958,4.510761,4.554054,4.554054,3.07692E8
2004-12-01,4.553303,4.567067,4.493243,4.503504,4.503504,3.1424944E8
2004-12-02,4.502002,4.542292,4.468218,4.489489,4.489489,2.50185568E8
2004-12-03,4.503253,4.531031,4.444444,4.514515,4.514515,2.34533232E8
