date,open,high,low,close,adj_close,volume
2004-01-02,0.384821,0.388393,0.378214,0.38,0.32170781,1.446424E8
2004-01-05,0.3825,0.399821,0.3825,0.395893,0.33516276,3.950184E8
2004-01-06,0.397321,0.400357,0.387679,0.394464,0.33395296,5.09348E8
2004-01-07,0.394643,0.407679,0.391607,0.403393,0.34151232,5.8687437E8
2004-01-08,0.407857,0.42375,0.404464,0.417143,0.353153,4.603032E8
2004-01-09,0.414821,0.430893,0.406964,0.410714,0.34771025,4.274592E8
2004-01-12,0.415179,0.428571,0.4125,0.42375,0.3587465,4.875472E8
2004-01-13,0.441071,0.443571,0.426071,0.430714,0.3646422,6.7901683E8
2004-01-14,0.435714,0.438214,0.424643,0.432143,0.36585206,6.200432E8
2004-01-15,0.409107,0.417857,0.401786,0.408036,0.34544304,1.01820877E9
2004-01-16,0.40875,0.411429,0.40375,0.405714,0.34347722,3.7282E8
2004-01-20,0.404821,0.407143,0.397321,0.405893,0.34362885,3.159464E8
2004-01-21,0.405357,0.410179,0.400536,0.40375,0.34181455,2.2666E8
2004-01-22,0.402857,0.407679,0.396071,0.396071,0.33531356,2.050048E8
2004-01-23,0.400357,0.406071,0.397321,0.402857,0.34105852,2.271696E8
2004-01-26,0.401071,0.411786,0.400536,0.410893,0.34786183,2.712696E8
2004-01-27,0.411429,0.415179,0.407143,0.411964,0.34876853,3.070704E8
2004-01-28,0.407857,0.4175,0.400179,0.402143,0.340454,2.754024E8
2004-01-29,0.404107,0.407143,0.39625,0.405,0.34287283,2.126992E8
2004-01-30,0.404464,0.408393,0.400357,0.402857,0.34105852,1.852984E8
2004-02-02,0.401071,0.407321,0.394286,0.398571,0.33743,2.874312E8
2004-02-03,0.398214,0.4,0.392857,0.3975,0.3365232,1.808128E8
2004-02-04,0.392857,0.394464,0.3875,0.389107,0.32941777,3.055528E8
2004-02-05,0.389643,0.409107,0.389464,0.400357,0.338942,3.528448E8
2004-02-06,0.400893,0.40875,0.4,0.405536,0.34332657,1.9334E8
2004-02-09,0.403929,0.408214,0.401786,0.404821,0.34272128,1.882608E8
2004-02-10,0.403929,0.412857,0.400714,0.410357,0.34740794,2.553432E8
2004-02-11,0.412321,0.42625,0.411607,0.425,0.35980487,3.48544E8
2004-02-12,0.421607,0.428393,0.421429,0.42375,0.3587465,1.83988E8
2004-02-13,0.425893,0.430357,0.407679,0.410714,0.34771025,3.1598E8
2004-02-17,0.4125,0.419464,0.4125,0.413571,0.350129,1.709568E8
2004-02-18,0.413929,0.418571,0.411607,0.415357,0.351641,1.416352E8
2004-02-19,0.416607,0.422143,0.400179,0.40125,0.3396981,3.230808E8
2004-02-20,0.401786,0.401964,0.396607,0.4,0.33863983,2.776032E8
2004-02-23,0.398929,0.401071,0.390893,0.39625,0.33546495,1.940792E8
2004-02-24,0.395357,0.406071,0.392857,0.399286,0.33803532,2.59056E8
2004-02-25,0.397857,0.408929,0.396607,0.407321,0.34483775,2.76276E8
2004-02-26,0.408571,0.413929,0.407143,0.411429,0.34831548,1.98408E8
2004-02-27,0.41,0.428929,0.409821,0.427143,0.3616189,4.688376E8
2004-03-01,0.430357,0.433929,0.42625,0.428929,0.36313096,3.216808E8
2004-03-02,0.428571,0.430357,0.424464,0.425179,0.35995623,2.566872E8
2004-03-03,0.421429,0.431964,0.421429,0.427143,0.3616189,2.251312E8
2004-03-04,0.427321,0.450357,0.426964,0.449286,0.38036525,6.6022323E8
2004-03-05,0.445536,0.490893,0.444643,0.4775,0.40425125,1.54059917E9
2004-03-08,0.475357,0.478393,0.460714,0.464286,0.39306426,5.22872E8
2004-03-09,0.4625,0.48625,0.459821,0.483929,0.40969416,6.183632E8
2004-03-10,0.482857,0.5025,0.481071,0.494286,0.41846228,1.00696397E9
2004-03-11,0.486964,0.500714,0.48375,0.484821,0.41044927,5.958512E8
2004-03-12,0.487857,0.496071,0.485179,0.492143,0.416648,3.29224E8
2004-03-15,0.482679,0.488393,0.468929,0.472321,0.39986667,4.817176E8
2004-03-16,0.474107,0.475179,0.453393,0.461071,0.3903425,6.0543283E8
2004-03-17,0.463571,0.471071,0.460357,0.467679,0.39593685,4.11432E8
2004-03-18,0.463214,0.465357,0.456964,0.458393,0.38807538,3.210816E8
2004-03-19,0.456429,0.481071,0.456071,0.461786,0.39094773,4.08576E8
2004-03-22,0.453036,0.467321,0.450893,0.461786,0.39094773,4.190312E8
2004-03-23,0.462143,0.464286,0.450357,0.451607,0.3823302,3.855152E8
2004-03-24,0.45125,0.459821,0.45125,0.455357,0.38550505,4.282152E8
2004-03-25,0.466786,0.480536,0.462321,0.479821,0.4062161,5.6644557E8
2004-03-26,0.482143,0.488571,0.480536,0.482857,0.40878654,4.198936E8
2004-03-29,0.48875,0.499821,0.485714,0.498393,0.42193937,3.50728E8
2004-03-30,0.495357,0.499107,0.488214,0.498571,0.42208993,3.596768E8
2004-03-31,0.498571,0.499643,0.48125,0.482857,0.40878654,3.907736E8
2004-04-01,0.480179,0.486964,0.475357,0.484107,0.4098447,3.18332E8
2004-04-02,0.495536,0.49875,0.48625,0.491071,0.4157405,2.744784E8
2004-04-05,0.490714,0.506607,0.49,0.505714,0.42813718,3.85672E8
2004-04-06,0.494821,0.502679,0.489821,0.496964,0.4207295,2.57992E8
2004-04-07,0.493036,0.494643,0.480714,0.487679,0.41286883,2.551192E8
2004-04-08,0.497857,0.5,0.485714,0.491607,0.4161942,2.409176E8
2004-04-12,0.491071,0.501786,0.490893,0.500714,0.42390418,2.305408E8
2004-04-13,0.499643,0.500536,0.479286,0.480893,0.40712377,4.363968E8
2004-04-14,0.4775,0.483393,0.469821,0.475714,0.40273917,6.397328E8
2004-04-15,0.514643,0.528214,0.502857,0.523214,0.44295272,1.7614464E9
2004-04-16,0.520536,0.523393,0.508929,0.521071,0.44113857,4.029312E8
2004-04-19,0.502143,0.513393,0.496964,0.50625,0.42859095,7.123536E8
2004-04-20,0.50375,0.507321,0.492143,0.495179,0.41921812,3.545192E8
2004-04-21,0.492857,0.502143,0.48875,0.495179,0.41921812,3.258752E8
2004-04-22,0.492143,0.503214,0.484107,0.496071,0.41997334,3.445848E8
2004-04-23,0.494643,0.5,0.483036,0.494643,0.4187644,3.158288E8
2004-04-26,0.4925,0.493571,0.482143,0.484464,0.41014692,2.311288E8
2004-04-27,0.486429,0.49,0.476607,0.481071,0.40727443,2.83864E8
2004-04-28,0.478929,0.482321,0.470357,0.472321,0.39986667,2.31168E8
2004-04-29,0.472321,0.482143,0.463929,0.478036,0.404705,4.607904E8
2004-04-30,0.476964,0.481429,0.455179,0.460357,0.38973805,4.665024E8
2004-05-03,0.464286,0.470179,0.459643,0.465536,0.3941226,2.976344E8
2004-05-04,0.46375,0.474107,0.455357,0.466786,0.39518082,2.799832E8
2004-05-05,0.467857,0.477679,0.463571,0.475893,0.40289074,2.381064E8
2004-05-06,0.471429,0.477679,0.4625,0.474643,0.4018325,2.635584E8
